customer_id,sale_id,sale_date,amount
2,1,01/04/25,"$232,562.00"
3,2,01/05/25,"$473,272.00"
7,3,01/13/25,"$280,980.00"
15,4,01/12/25,"$500,904.00"
17,5,01/08/25,"$247,848.00"
19,6,01/04/25,"$399,207.00"
20,7,01/04/25,"$237,885.00"
28,8,01/01/25,"$283,363.00"
31,9,01/08/25,"$278,547.00"
33,10,01/07/25,"$288,415.00"
39,11,01/09/25,"$398,378.00"
40,12,01/09/25,"$353,698.00"
42,13,01/09/25,"$509,724.00"
43,14,01/08/25,"$334,654.00"
44,15,01/05/25,"$446,341.00"
57,16,01/14/25,"$297,966.00"
59,17,01/02/25,"$509,840.00"
62,18,01/08/25,"$472,125.00"
63,19,01/13/25,"$298,326.00"
64,20,01/08/25,"$388,543.00"
66,21,01/10/25,"$520,649.00"
69,22,01/11/25,"$293,250.00"
72,23,01/04/25,"$312,479.00"
76,24,01/06/25,"$352,737.00"
81,25,01/07/25,"$475,474.00"
84,26,01/02/25,"$227,968.00"
87,27,01/03/25,"$481,033.00"
91,28,01/04/25,"$507,187.00"
94,29,01/07/25,"$242,228.00"
101,30,01/05/25,"$491,646.00"
103,31,01/08/25,"$393,803.00"
104,32,01/11/25,"$465,743.00"
116,33,01/14/25,"$502,412.00"
117,34,01/05/25,"$452,733.00"
134,35,01/09/25,"$226,326.00"
138,36,01/09/25,"$336,537.00"
141,37,01/08/25,"$413,145.00"
142,38,01/06/25,"$434,615.00"
151,39,01/09/25,"$381,553.00"
156,40,01/11/25,"$280,602.00"
160,41,01/07/25,"$370,095.00"
161,42,01/04/25,"$466,824.00"
163,43,01/06/25,"$353,433.00"
167,44,01/18/25,"$353,608.00"
172,45,01/09/25,"$378,528.00"
176,46,01/02/25,"$379,053.00"
184,47,01/09/25,"$262,518.00"
198,48,01/07/25,"$352,270.00"
199,49,01/07/25,"$471,236.00"
201,50,01/06/25,"$328,632.00"
203,51,01/08/25,"$486,105.00"
206,52,01/06/25,"$458,835.00"
208,53,01/05/25,"$477,021.00"
211,54,01/11/25,"$258,110.00"
218,55,01/04/25,"$327,781.00"
223,56,01/06/25,"$413,138.00"
224,57,01/06/25,"$293,951.00"
226,58,01/07/25,"$278,589.00"
232,59,01/06/25,"$385,257.00"
233,60,01/09/25,"$486,482.00"
237,61,01/07/25,"$245,001.00"
239,62,01/06/25,"$421,407.00"
242,63,01/06/25,"$287,169.00"
244,64,01/06/25,"$367,114.00"
245,65,01/13/25,"$353,129.00"
246,66,01/08/25,"$385,042.00"
247,67,01/06/25,"$325,012.00"
254,68,01/14/25,"$438,603.00"
258,69,01/02/25,"$387,853.00"
260,70,01/07/25,"$368,918.00"
267,71,01/14/25,"$418,420.00"
272,72,01/11/25,"$260,148.00"
276,73,01/05/25,"$469,859.00"
278,74,01/12/25,"$322,812.00"
279,75,01/11/25,"$424,735.00"
283,76,01/04/25,"$318,623.00"
284,77,01/07/25,"$358,452.00"
286,78,01/11/25,"$291,705.00"
291,79,01/09/25,"$383,983.00"
